lpi_cplex2,224,2981
lp_scfxm1,330,7237
oscil_dcop_39,430,4997
oscil_dcop_30,430,4997
lp_standmps,467,6177
gre_512,512,8025
fs_760_3,760,28377
pde900,900,11313
adder_dcop_37,1813,45707
CAG_mat1916,1916,2709319
G29,2000,723483
rail2586,2586,613085
ex12,3973,427412
sts4098,4098,689672
M80PI_n,4182,16765
n4c6-b13,6300,250366
flowmeter5,9669,314031
c-44,10728,989737
ch7-6-b3,12600,583233
cyl6,13681,2408977
ch7-6-b4,15120,426233
psse0,26722,545172
c-55,32780,7525138
scagr7-2r,32847,25601262
mosfet2,46994,24898542
lhr71,70304,6460381
cage12,130228,22385637
marine1,400320,33067997
t2em,921632,15574504
